Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20
Gujarat,India,22.25,71.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,18,29,32,37,42,42,44,52,69,73,82,87,95,105,122,144,144,165,179,241,308,432,516,617,695,871,1021,1272,1604,1851,2066,2178,2407,2624,2624,3071,3301,3548,3744,4082,4395,4721,5055,5428,5804,6245,6625,7012,7402,7796,8194,8541,8903,9267,9591,9931,10988,11379,11745,12140,12537,12905,13268,13664,14056,14460,14821,15195,15562,15934,16343,16779,17200,17617,18100,18584,19094,19592,20070,20545,21014,21521,22032,22527,23038,23544,24055,24577,25093,25601,26141,26680,27260,27825,28371,28943,29520,30095,30709,31320,31938,32557,33232,33913,34600,35312
Haryana,India,29.058,76.0856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,14,14,14,14,15,17,17,17,17,21,26,28,28,30,30,33,33,36,40,43,43,49,49,59,84,90,147,169,169,177,185,185,199,199,205,205,225,233,233,254,254,262,272,272,289,289,296,310,310,313,360,394,442,517,548,594,625,647,675,703,730,780,793,818,818,887,910,928,964,993,1031,1067,1131,1184,1184,1305,1381,1504,1721,1923,2091,2356,2652,2954,3281,3597,3952,4448,4854,5209,5579,5968,6334,6749,7208,7722,8272,8832,9218,9743,10223,10635,11025,11520,12010,12463,12884,13427,13829,14210,14548,14941,15509,16003,16548
Himachal Pradesh,India,31.1048,77.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3,3,3,3,3,3,6,6,6,6,13,13,18,18,28,28,32,32,32,33,35,35,38,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,41,42,45,46,50,50,55,59,65,66,74,76,78,80,90,92,110,152,168,185,203,223,247,273,276,295,313,331,340,345,359,383,393,400,413,421,445,451,470,486,502,518,556,560,569,595,619,656,673,727,775,806,839,864,894,916,942,953,979,1014,1033,1046
Jammu & Kashmir,India,33.7782,76.5762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,3,4,4,4,4,4,4,7,13,13,20,31,48,54,62,62,75,75,106,109,109,116,158,184,207,224,245,270,278,300,314,328,341,350,368,380,407,427,427,494,523,546,565,581,614,639,666,701,726,741,775,793,823,836,861,879,934,971,983,1013,1121,1183,1289,1317,1390,1449,1489,1569,1621,1668,1759,1921,2036,2164,2341,2446,2601,2718,2857,3142,3324,3467,4087,4285,4346,4507,4574,4730,4878,5041,5220,5298,5406,5555,5680,5834,5956,6088,6236,6422,6549,6762,6966,7093,7237,7497,7695,7849,8019,8246
Jharkhanda,India,23.6102,85.2799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,4,4,4,13,13,17,17,19,24,27,28,29,33,35,42,46,45,49,55,55,67,82,103,103,107,111,111,115,115,115,125,127,132,132,156,157,160,172,173,197,203,217,223,223,231,231,290,308,350,370,377,426,448,469,511,563,610,659,712,752,793,881,1000,1099,1256,1411,1489,1599,1617,1711,1745,1763,1839,1895,1920,1965,1965,2073,2137,2185,2207,2262,2290,2339,2364,2426,2490,2521,2584,2695,2739
Karnataka,India,15.31,75.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,5,6,6,6,11,11,14,15,15,26,33,37,41,55,55,55,76,83,83,101,110,124,128,144,151,151,175,181,197,214,226,232,258,277,315,353,371,384,395,415,418,427,463,463,501,503,520,523,557,576,598,606,642,659,671,693,705,753,794,848,862,925,959,987,1056,1092,1147,1246,1397,1462,1605,1743,1959,2089,2182,2283,2418,2533,2781,2922,3221,3408,3796,4063,4320,4835,5213,5452,5760,5921,6041,6245,6516,6824,7000,7213,7530,7734,7944,8281,8697,9150,9399,9721,10118,10560,11005,11923,13190,14295,15242,16514,18016,19710,21549
Kerala,India,10.85,76.27,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,9,15,17,17,17,19,23,23,26,27,27,28,40,52,67,95,109,110,137,176,182,219,234,241,265,286,295,306,314,327,336,345,357,364,374,376,379,387,388,395,396,400,402,408,427,438,448,448,458,458,482,485,496,497,498,500,500,500,502,503,503,503,505,512,519,524,534,560,576,587,601,630,642,666,690,732,795,847,896,963,1004,1088,1150,1208,1269,1326,1412,1494,1588,1699,1807,1914,2005,2096,2161,2244,2322,2407,2461,2543,2622,2697,2794,2912,3039,3172,3310,3451,3603,3726,3876,4071,4189,4189,4442,4593,4753,4964,5204
Ladakh,India,34.2996,78.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,3,3,4,6,8,8,10,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,15,15,15,15,15,17,17,18,18,18,18,18,18,18,18,18,20,20,22,22,22,22,22,40,41,41,41,41,42,42,42,42,42,42,43,43,43,43,43,43,43,44,44,44,49,52,52,53,53,73,74,74,74,77,81,90,90,97,99,103,103,108,115,135,239,437,549,555,649,687,687,744,836,837,847,932,941,941,946,960,963,964,973,990,990,1001,1005
Madhya Pradesh,India,22.97,78.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,7,14,20,20,30,30,47,47,66,99,104,104,165,165,165,229,259,259,443,564,564,730,987,1120,1308,1355,1407,1485,1540,1552,1592,1852,1852,2096,2096,2368,2387,2660,2719,2719,2846,2942,3049,3049,3138,3252,3341,3614,3614,3785,3986,4173,4426,4595,4789,4977,5236,5465,5735,5981,6170,6371,6665,6859,7024,7261,7453,7645,7891,8089,8283,8420,8588,8762,8996,9228,9401,9638,9849,10049,10241,10443,10641,10802,10935,11083,11244,11426,11582,11724,11903,12078,12261,12448,12596,12798,12965,13186,13370,13593,13861,14106,14297,14604
Maharashtra,India,19.75,75.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,10,11,11,14,32,32,39,42,47,47,63,67,74,89,128,128,130,180,186,207,254,302,335,335,490,490,748,748,1018,1135,1364,1574,1761,1985,2337,2687,2919,3205,3323,3651,4203,4669,5218,5652,6430,6430,7628,8068,8590,9318,9915,10498,11506,12296,12974,14541,15525,16758,17974,19063,20228,22171,23401,24427,25922,27524,29100,30706,33053,35058,37136,39297,41642,44582,47190,50231,52667,54758,56948,59546,62486,64973,67655,70013,72300,74860,77793,80229,82968,85975,88528,90787,94041,97648,101141,104568,107958,110744,113445,116752,120504,124331,128205,132075,135796,139010,142900,147741,152765,159133,164626,169883,174761,180298,186626,192990,200064
Manipur,India,24.663,93.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,7,7,7,9,25,25,26,29,32,39,39,44,55,59,62,71,83,89,118,124,132,157,172,272,304,311,366,385,449,458,490,500,552,606,681,777,841,898,921,970,1056,1075,1092,1185,1227,1234,1260,1279,1316,1325
Meghalaya,India,25.3,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,9,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,15,20,21,27,27,27,27,27,33,33,33,33,36,36,43,44,44,44,44,44,44,44,44,44,44,44,44,44,46,46,46,47,47,47,47,52,52,56,62,62
Mizoram,India,23.1645,92.9376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,14,17,22,24,34,42,88,93,102,104,107,112,117,121,121,130,130,140,141,141,142,142,145,145,148,148,148,160,160,162,162,164
Nagaland,India,26.158,94.562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,18,25,36,43,43,49,58,80,94,107,118,123,127,128,128,156,163,168,177,179,193,193,198,201,211,280,330,347,355,371,387,415,434,459,459,501,539,563
